Category: All categories

Month,food prices: (United Kingdom)
2004-01,71
2004-02,41
2004-03,57
2004-04,50
2004-05,74
2004-06,46
2004-07,38
2004-08,39
2004-09,47
2004-10,52
2004-11,30
2004-12,38
2005-01,67
2005-02,62
2005-03,54
2005-04,61
2005-05,49
2005-06,53
2005-07,46
2005-08,35
2005-09,49
2005-10,36
2005-11,46
2005-12,37
2006-01,50
2006-02,36
2006-03,54
2006-04,43
2006-05,45
2006-06,52
2006-07,39
2006-08,35
2006-09,36
2006-10,39
2006-11,38
2006-12,29
2007-01,46
2007-02,39
2007-03,37
2007-04,31
2007-05,47
2007-06,48
2007-07,50
2007-08,36
2007-09,48
2007-10,38
2007-11,47
2007-12,39
2008-01,49
2008-02,49
2008-03,60
2008-04,71
2008-05,78
2008-06,77
2008-07,72
2008-08,63
2008-09,65
2008-10,58
2008-11,57
2008-12,46
2009-01,61
2009-02,48
2009-03,52
2009-04,52
2009-05,58
2009-06,58
2009-07,49
2009-08,46
2009-09,42
2009-10,44
2009-11,51
2009-12,37
2010-01,43
2010-02,51
2010-03,42
2010-04,42
2010-05,50
2010-06,51
2010-07,52
2010-08,47
2010-09,43
2010-10,39
2010-11,43
2010-12,36
2011-01,63
2011-02,65
2011-03,60
2011-04,52
2011-05,61
2011-06,73
2011-07,67
2011-08,52
2011-09,55
2011-10,41
2011-11,49
2011-12,43
2012-01,50
2012-02,51
2012-03,49
2012-04,52
2012-05,55
2012-06,64
2012-07,63
2012-08,57
2012-09,53
2012-10,55
2012-11,45
2012-12,40
2013-01,52
2013-02,50
2013-03,54
2013-04,55
2013-05,60
2013-06,65
2013-07,63
2013-08,66
2013-09,55
2013-10,50
2013-11,50
2013-12,46
2014-01,62
2014-02,61
2014-03,60
2014-04,58
2014-05,62
2014-06,68
2014-07,65
2014-08,67
2014-09,55
2014-10,56
2014-11,51
2014-12,44
2015-01,61
2015-02,64
2015-03,60
2015-04,61
2015-05,69
2015-06,71
2015-07,75
2015-08,67
2015-09,59
2015-10,58
2015-11,54
2015-12,53
2016-01,68
2016-02,73
2016-03,64
2016-04,69
2016-05,73
2016-06,74
2016-07,83
2016-08,76
2016-09,63
2016-10,64
2016-11,57
2016-12,55
2017-01,82
2017-02,71
2017-03,71
2017-04,74
2017-05,78
2017-06,77
2017-07,98
2017-08,86
2017-09,73
2017-10,72
2017-11,62
2017-12,55
2018-01,82
2018-02,78
2018-03,69
2018-04,78
2018-05,74
2018-06,75
2018-07,89
2018-08,100
2018-09,77
2018-10,73
2018-11,65
2018-12,59
2019-01,84
2019-02,76
2019-03,71
2019-04,87
2019-05,87
2019-06,87
2019-07,97
2019-08,89
2019-09,78
2019-10,72
2019-11,64
2019-12,66
2020-01,84
2020-02,72
2020-03,45
2020-04,32
2020-05,28
2020-06,28
2020-07,50
2020-08,55
2020-09,39
2020-10,38
2020-11,26
2020-12,33
2021-01,28
2021-02,25
2021-03,26
2021-04,29
2021-05,41
2021-06,52
2021-07,51
2021-08,65
2021-09,53
2021-10,59
2021-11,45
2021-12,48
2022-01,64
2022-02,88
2022-03,79
2022-04,80
2022-05,85
2022-06,88
2022-07,93
2022-08,88
2022-09,76
2022-10,72
2022-11,66
2022-12,57
2023-01,78
2023-02,78
2023-03,73
2023-04,89
2023-05,97
2023-06,91
2023-07,97
2023-08,87
2023-09,68
2023-10,68
2023-11,65
2023-12,65
2024-01,71
2024-02,72
2024-03,68
2024-04,74
2024-05,68
2024-06,76
2024-07,79
2024-08,82
2024-09,69
2024-10,59
2024-11,63
2024-12,59
2025-01,67
2025-02,71
2025-03,65
2025-04,77
2025-05,74
2025-06,83
2025-07,87
2025-08,91
2025-09,71
2025-10,69
2025-11,78
