Category: All categories

Month,diesel price: (United Kingdom),petrol price: (United Kingdom)
2004-01,6,4
2004-02,4,6
2004-03,4,7
2004-04,0,9
2004-05,5,18
2004-06,6,15
2004-07,3,8
2004-08,4,9
2004-09,5,6
2004-10,4,8
2004-11,4,7
2004-12,3,7
2005-01,5,7
2005-02,4,8
2005-03,5,9
2005-04,4,14
2005-05,5,10
2005-06,7,11
2005-07,6,10
2005-08,6,18
2005-09,5,28
2005-10,4,8
2005-11,5,7
2005-12,3,6
2006-01,4,8
2006-02,5,9
2006-03,5,8
2006-04,4,15
2006-05,4,13
2006-06,4,10
2006-07,4,11
2006-08,5,10
2006-09,4,10
2006-10,5,7
2006-11,3,5
2006-12,3,5
2007-01,4,8
2007-02,4,6
2007-03,4,7
2007-04,4,6
2007-05,4,8
2007-06,5,6
2007-07,5,7
2007-08,4,6
2007-09,4,6
2007-10,4,8
2007-11,5,13
2007-12,5,9
2008-01,5,11
2008-02,5,9
2008-03,8,14
2008-04,8,17
2008-05,12,29
2008-06,11,29
2008-07,10,27
2008-08,7,17
2008-09,5,17
2008-10,7,28
2008-11,6,15
2008-12,7,13
2009-01,6,10
2009-02,4,8
2009-03,4,7
2009-04,5,6
2009-05,5,7
2009-06,5,7
2009-07,5,7
2009-08,5,7
2009-09,4,6
2009-10,4,6
2009-11,5,7
2009-12,4,5
2010-01,5,5
2010-02,5,6
2010-03,5,9
2010-04,5,11
2010-05,5,9
2010-06,5,7
2010-07,5,7
2010-08,5,7
2010-09,5,5
2010-10,4,6
2010-11,5,6
2010-12,5,6
2011-01,9,18
2011-02,8,14
2011-03,10,21
2011-04,9,16
2011-05,8,15
2011-06,8,14
2011-07,8,12
2011-08,8,12
2011-09,7,11
2011-10,7,10
2011-11,7,12
2011-12,6,7
2012-01,8,10
2012-02,8,11
2012-03,9,20
2012-04,8,14
2012-05,8,16
2012-06,8,13
2012-07,8,11
2012-08,8,12
2012-09,9,12
2012-10,8,10
2012-11,7,10
2012-12,6,7
2013-01,7,9
2013-02,8,11
2013-03,9,12
2013-04,8,12
2013-05,8,11
2013-06,8,10
2013-07,8,11
2013-08,9,11
2013-09,8,11
2013-10,7,10
2013-11,7,9
2013-12,7,8
2014-01,8,9
2014-02,8,9
2014-03,8,10
2014-04,8,10
2014-05,8,9
2014-06,8,10
2014-07,9,10
2014-08,8,10
2014-09,8,10
2014-10,9,13
2014-11,8,13
2014-12,10,21
2015-01,12,24
2015-02,9,14
2015-03,8,12
2015-04,8,11
2015-05,8,12
2015-06,8,10
2015-07,14,14
2015-08,14,16
2015-09,9,12
2015-10,8,11
2015-11,8,13
2015-12,10,19
2016-01,11,16
2016-02,7,10
2016-03,7,11
2016-04,7,12
2016-05,7,11
2016-06,7,12
2016-07,7,11
2016-08,7,11
2016-09,7,10
2016-10,8,11
2016-11,8,12
2016-12,7,9
2017-01,9,13
2017-02,9,13
2017-03,9,14
2017-04,9,12
2017-05,9,13
2017-06,8,13
2017-07,8,12
2017-08,9,12
2017-09,9,14
2017-10,9,12
2017-11,10,12
2017-12,8,11
2018-01,10,13
2018-02,10,14
2018-03,9,12
2018-04,9,13
2018-05,12,19
2018-06,12,20
2018-07,11,15
2018-08,10,15
2018-09,10,16
2018-10,11,16
2018-11,12,18
2018-12,11,17
2019-01,11,15
2019-02,10,13
2019-03,9,13
2019-04,9,16
2019-05,11,18
2019-06,11,16
2019-07,10,15
2019-08,10,15
2019-09,9,14
2019-10,8,11
2019-11,8,10
2019-12,7,11
2020-01,9,15
2020-02,11,15
2020-03,14,25
2020-04,13,28
2020-05,9,17
2020-06,8,13
2020-07,7,12
2020-08,7,11
2020-09,7,10
2020-10,7,8
2020-11,6,7
2020-12,6,7
2021-01,7,9
2021-02,8,12
2021-03,8,12
2021-04,8,11
2021-05,8,13
2021-06,8,14
2021-07,8,17
2021-08,9,16
2021-09,13,26
2021-10,12,24
2021-11,11,19
2021-12,8,15
2022-01,10,16
2022-02,18,30
2022-03,62,100
2022-04,24,36
2022-05,19,32
2022-06,32,79
2022-07,26,56
2022-08,23,52
2022-09,18,30
2022-10,20,29
2022-11,18,24
2022-12,22,28
2023-01,17,26
2023-02,16,24
2023-03,15,21
2023-04,15,20
2023-05,18,21
2023-06,16,20
2023-07,13,21
2023-08,15,25
2023-09,16,23
2023-10,13,21
2023-11,12,21
2023-12,12,19
2024-01,11,18
2024-02,11,18
2024-03,10,19
2024-04,11,19
2024-05,10,18
2024-06,9,17
2024-07,10,16
2024-08,10,18
2024-09,10,20
2024-10,10,18
2024-11,9,15
2024-12,9,14
2025-01,10,19
2025-02,10,16
2025-03,13,18
2025-04,11,19
2025-05,10,17
2025-06,12,19
2025-07,10,18
2025-08,11,18
2025-09,10,15
2025-10,10,16
2025-11,11,18
