Category: All categories

Month,redundancy: (United Kingdom)
2004-01,41
2004-02,39
2004-03,39
2004-04,36
2004-05,36
2004-06,35
2004-07,35
2004-08,32
2004-09,34
2004-10,34
2004-11,35
2004-12,31
2005-01,38
2005-02,42
2005-03,35
2005-04,35
2005-05,36
2005-06,33
2005-07,33
2005-08,32
2005-09,36
2005-10,30
2005-11,35
2005-12,27
2006-01,34
2006-02,38
2006-03,38
2006-04,33
2006-05,33
2006-06,32
2006-07,30
2006-08,30
2006-09,32
2006-10,32
2006-11,30
2006-12,24
2007-01,33
2007-02,32
2007-03,32
2007-04,28
2007-05,27
2007-06,27
2007-07,28
2007-08,27
2007-09,25
2007-10,28
2007-11,28
2007-12,21
2008-01,34
2008-02,32
2008-03,31
2008-04,34
2008-05,33
2008-06,40
2008-07,43
2008-08,35
2008-09,44
2008-10,52
2008-11,60
2008-12,52
2009-01,75
2009-02,67
2009-03,62
2009-04,56
2009-05,47
2009-06,48
2009-07,46
2009-08,38
2009-09,39
2009-10,40
2009-11,37
2009-12,29
2010-01,33
2010-02,39
2010-03,37
2010-04,30
2010-05,29
2010-06,37
2010-07,39
2010-08,30
2010-09,33
2010-10,36
2010-11,34
2010-12,25
2011-01,46
2011-02,48
2011-03,47
2011-04,31
2011-05,33
2011-06,37
2011-07,33
2011-08,26
2011-09,31
2011-10,30
2011-11,34
2011-12,22
2012-01,37
2012-02,36
2012-03,35
2012-04,30
2012-05,33
2012-06,27
2012-07,29
2012-08,25
2012-09,30
2012-10,34
2012-11,34
2012-12,21
2013-01,41
2013-02,37
2013-03,34
2013-04,32
2013-05,30
2013-06,31
2013-07,28
2013-08,23
2013-09,27
2013-10,29
2013-11,29
2013-12,18
2014-01,30
2014-02,29
2014-03,29
2014-04,26
2014-05,27
2014-06,28
2014-07,25
2014-08,20
2014-09,25
2014-10,27
2014-11,25
2014-12,18
2015-01,30
2015-02,32
2015-03,32
2015-04,29
2015-05,29
2015-06,29
2015-07,28
2015-08,22
2015-09,28
2015-10,29
2015-11,28
2015-12,19
2016-01,30
2016-02,33
2016-03,32
2016-04,31
2016-05,27
2016-06,27
2016-07,25
2016-08,21
2016-09,28
2016-10,26
2016-11,27
2016-12,17
2017-01,28
2017-02,30
2017-03,31
2017-04,26
2017-05,26
2017-06,27
2017-07,24
2017-08,23
2017-09,24
2017-10,25
2017-11,26
2017-12,17
2018-01,31
2018-02,31
2018-03,31
2018-04,27
2018-05,27
2018-06,27
2018-07,25
2018-08,23
2018-09,25
2018-10,28
2018-11,28
2018-12,17
2019-01,32
2019-02,35
2019-03,31
2019-04,29
2019-05,29
2019-06,30
2019-07,30
2019-08,25
2019-09,30
2019-10,28
2019-11,27
2019-12,17
2020-01,29
2020-02,30
2020-03,54
2020-04,42
2020-05,60
2020-06,100
2020-07,93
2020-08,69
2020-09,65
2020-10,59
2020-11,36
2020-12,20
2021-01,24
2021-02,27
2021-03,26
2021-04,22
2021-05,21
2021-06,20
2021-07,17
2021-08,15
2021-09,18
2021-10,17
2021-11,15
2021-12,12
2022-01,16
2022-02,17
2022-03,21
2022-04,16
2022-05,19
2022-06,18
2022-07,17
2022-08,19
2022-09,20
2022-10,23
2022-11,24
2022-12,13
2023-01,26
2023-02,30
2023-03,30
2023-04,24
2023-05,25
2023-06,28
2023-07,25
2023-08,23
2023-09,27
2023-10,27
2023-11,30
2023-12,20
2024-01,37
2024-02,34
2024-03,32
2024-04,31
2024-05,28
2024-06,26
2024-07,29
2024-08,24
2024-09,28
2024-10,31
2024-11,32
2024-12,20
2025-01,35
2025-02,38
2025-03,42
2025-04,33
2025-05,34
2025-06,36
2025-07,34
2025-08,27
2025-09,35
2025-10,33
2025-11,14
