Category: All categories

Month,shipping cost: (United Kingdom)
2004-01,0
2004-02,62
2004-03,53
2004-04,0
2004-05,0
2004-06,0
2004-07,42
2004-08,0
2004-09,0
2004-10,0
2004-11,32
2004-12,0
2005-01,0
2005-02,33
2005-03,0
2005-04,28
2005-05,0
2005-06,0
2005-07,30
2005-08,0
2005-09,23
2005-10,32
2005-11,0
2005-12,0
2006-01,26
2006-02,25
2006-03,20
2006-04,25
2006-05,29
2006-06,22
2006-07,21
2006-08,16
2006-09,14
2006-10,21
2006-11,24
2006-12,0
2007-01,27
2007-02,27
2007-03,17
2007-04,13
2007-05,21
2007-06,10
2007-07,26
2007-08,31
2007-09,23
2007-10,18
2007-11,26
2007-12,11
2008-01,30
2008-02,23
2008-03,22
2008-04,29
2008-05,23
2008-06,26
2008-07,18
2008-08,22
2008-09,23
2008-10,19
2008-11,26
2008-12,25
2009-01,26
2009-02,21
2009-03,26
2009-04,25
2009-05,24
2009-06,29
2009-07,28
2009-08,30
2009-09,31
2009-10,26
2009-11,26
2009-12,25
2010-01,32
2010-02,26
2010-03,26
2010-04,30
2010-05,24
2010-06,26
2010-07,25
2010-08,23
2010-09,28
2010-10,24
2010-11,27
2010-12,26
2011-01,35
2011-02,33
2011-03,36
2011-04,30
2011-05,34
2011-06,34
2011-07,35
2011-08,36
2011-09,32
2011-10,30
2011-11,32
2011-12,33
2012-01,34
2012-02,45
2012-03,37
2012-04,42
2012-05,44
2012-06,37
2012-07,38
2012-08,47
2012-09,47
2012-10,46
2012-11,41
2012-12,38
2013-01,41
2013-02,46
2013-03,48
2013-04,47
2013-05,45
2013-06,51
2013-07,46
2013-08,50
2013-09,44
2013-10,49
2013-11,45
2013-12,43
2014-01,51
2014-02,48
2014-03,44
2014-04,48
2014-05,51
2014-06,50
2014-07,47
2014-08,50
2014-09,50
2014-10,46
2014-11,45
2014-12,48
2015-01,55
2015-02,47
2015-03,49
2015-04,52
2015-05,49
2015-06,44
2015-07,47
2015-08,50
2015-09,44
2015-10,53
2015-11,51
2015-12,46
2016-01,55
2016-02,54
2016-03,55
2016-04,57
2016-05,55
2016-06,53
2016-07,52
2016-08,49
2016-09,59
2016-10,51
2016-11,62
2016-12,55
2017-01,60
2017-02,55
2017-03,55
2017-04,57
2017-05,57
2017-06,56
2017-07,60
2017-08,59
2017-09,56
2017-10,52
2017-11,59
2017-12,53
2018-01,56
2018-02,61
2018-03,55
2018-04,63
2018-05,55
2018-06,57
2018-07,54
2018-08,60
2018-09,60
2018-10,54
2018-11,60
2018-12,52
2019-01,61
2019-02,56
2019-03,55
2019-04,54
2019-05,57
2019-06,55
2019-07,53
2019-08,58
2019-09,58
2019-10,58
2019-11,63
2019-12,62
2020-01,61
2020-02,65
2020-03,52
2020-04,67
2020-05,94
2020-06,95
2020-07,100
2020-08,97
2020-09,98
2020-10,93
2020-11,91
2020-12,79
2021-01,99
2021-02,96
2021-03,89
2021-04,64
2021-05,58
2021-06,59
2021-07,59
2021-08,62
2021-09,60
2021-10,61
2021-11,63
2021-12,59
2022-01,68
2022-02,66
2022-03,71
2022-04,67
2022-05,67
2022-06,70
2022-07,74
2022-08,65
2022-09,64
2022-10,67
2022-11,65
2022-12,70
2023-01,76
2023-02,76
2023-03,65
2023-04,67
2023-05,70
2023-06,68
2023-07,67
2023-08,73
2023-09,69
2023-10,66
2023-11,77
2023-12,65
2024-01,80
2024-02,79
2024-03,69
2024-04,76
2024-05,75
2024-06,67
2024-07,69
2024-08,80
2024-09,69
2024-10,74
2024-11,75
2024-12,72
2025-01,76
2025-02,70
2025-03,76
2025-04,81
2025-05,74
2025-06,80
2025-07,85
2025-08,97
2025-09,77
2025-10,80
2025-11,87
